index	name	abbreviation	r	g	b	a
602	Cbm_Right_I_IV	Cbm_Right_I_IV	245	245	245	0
603	Cbm_Left_V	Cbm_Left_V	205	62	78	0
604	Cbm_Right_V	Cbm_Right_V	120	18	134	0
605	Cbm_Left_VI	Cbm_Left_VI	196	58	250	0
606	Cbm_Vermis_VI	Cbm_Vermis_VI	0	148	0	0
607	Cbm_Right_VI	Cbm_Right_VI	220	248	164	0
608	Cbm_Left_CrusI	Cbm_Left_CrusI	230	148	34	0
609	Cbm_Vermis_CrusI	Cbm_Vermis_CrusI	0	118	14	0
610	Cbm_Right_CrusI	Cbm_Right_CrusI	0	118	14	0
611	Cbm_Left_CrusII	Cbm_Left_CrusII	122	186	220	0
612	Cbm_Vermis_CrusII	Cbm_Vermis_CrusII	236	13	176	0
613	Cbm_Right_CrusII	Cbm_Right_CrusII	12	48	255	0
614	Cbm_Left_VIIb	Cbm_Left_VIIb	204	182	142	0
615	Cbm_Vermis_VIIb	Cbm_Vermis_VIIb	42	204	164	0
616	Cbm_Right_VIIb	Cbm_Right_VIIb	119	159	176	0
617	Cbm_Left_VIIIa	Cbm_Left_VIIIa	220	216	20	0
618	Cbm_Vermis_VIIIa	Cbm_Vermis_VIIIa	103	255	255	0
619	Cbm_Right_VIIIa	Cbm_Right_VIIIa	80	196	98	0
620	Cbm_Left_VIIIb	Cbm_Left_VIIIb	60	58	210	0
621	Cbm_Vermis_VIIIb	Cbm_Vermis_VIIIb	60	58	210	0
622	Cbm_Right_VIIIb	Cbm_Right_VIIIb	60	58	210	0
623	Cbm_Left_IX	Cbm_Left_IX	60	58	210	0
624	Cbm_Vermis_IX	Cbm_Vermis_IX	60	60	60	0
625	Cbm_Right_IX	Cbm_Right_IX	255	165	0	0
626	Cbm_Left_X	Cbm_Left_X	255	165	0	0
627	Cbm_Vermis_X	Cbm_Vermis_X	0	255	127	0
628	Cbm_Right_X	Cbm_Right_X	165	42	42	0
640	Cbm_Right_I_V_med	Cbm_Right_I_V_med	204	0	0	0
641	Cbm_Right_I_V_mid	Cbm_Right_I_V_mid	255	0	0	0
642	Cbm_Right_VI_med	Cbm_Right_VI_med	0	0	255	0
643	Cbm_Right_VI_mid	Cbm_Right_VI_mid	30	144	255	0
644	Cbm_Right_VI_lat	Cbm_Right_VI_lat	100	212	237	0
645	Cbm_Right_CrusI_med	Cbm_Right_CrusI_med	218	165	32	0
646	Cbm_Right_CrusI_mid	Cbm_Right_CrusI_mid	255	215	0	0
647	Cbm_Right_CrusI_lat	Cbm_Right_CrusI_lat	255	255	166	0
648	Cbm_Right_CrusII_med	Cbm_Right_CrusII_med	153	0	204	0
649	Cbm_Right_CrusII_mid	Cbm_Right_CrusII_mid	153	141	209	0
650	Cbm_Right_CrusII_lat	Cbm_Right_CrusII_lat	204	204	255	0
651	Cbm_Right_7med	Cbm_Right_7med	31	212	194	0
652	Cbm_Right_7mid	Cbm_Right_7mid	3	255	237	0
653	Cbm_Right_7lat	Cbm_Right_7lat	204	255	255	0
654	Cbm_Right_8med	Cbm_Right_8med	86	74	147	0
655	Cbm_Right_8mid	Cbm_Right_8mid	114	114	190	0
656	Cbm_Right_8lat	Cbm_Right_8lat	184	178	255	0
657	Cbm_Right_PUNs	Cbm_Right_PUNs	126	138	37	0
658	Cbm_Right_TONs	Cbm_Right_TONs	189	197	117	0
659	Cbm_Right_FLOs	Cbm_Right_FLOs	240	230	140	0
660	Cbm_Left_I_V_med	Cbm_Left_I_V_med	204	0	0	0
661	Cbm_Left_I_V_mid	Cbm_Left_I_V_mid	255	0	0	0
662	Cbm_Left_VI_med	Cbm_Left_VI_med	0	0	255	0
663	Cbm_Left_VI_mid	Cbm_Left_VI_mid	30	144	255	0
664	Cbm_Left_VI_lat	Cbm_Left_VI_lat	100	212	237	0
665	Cbm_Left_CrusI_med	Cbm_Left_CrusI_med	218	165	32	0
666	Cbm_Left_CrusI_mid	Cbm_Left_CrusI_mid	255	215	0	0
667	Cbm_Left_CrusI_lat	Cbm_Left_CrusI_lat	255	255	166	0
668	Cbm_Left_CrusII_med	Cbm_Left_CrusII_med	153	0	204	0
669	Cbm_Left_CrusII_mid	Cbm_Left_CrusII_mid	153	141	209	0
670	Cbm_Left_CrusII_lat	Cbm_Left_CrusII_lat	204	204	255	0
671	Cbm_Left_7med	Cbm_Left_7med	31	212	194	0
672	Cbm_Left_7mid	Cbm_Left_7mid	3	255	237	0
673	Cbm_Left_7lat	Cbm_Left_7lat	204	255	255	0
674	Cbm_Left_8med	Cbm_Left_8med	86	74	147	0
675	Cbm_Left_8mid	Cbm_Left_8mid	114	114	190	0
676	Cbm_Left_8lat	Cbm_Left_8lat	184	178	255	0
677	Cbm_Left_PUNs	Cbm_Left_PUNs	126	138	37	0
678	Cbm_Left_TONs	Cbm_Left_TONs	189	197	117	0
679	Cbm_Left_FLOs	Cbm_Left_FLOs	240	230	140	0
690	CbmWM_Gyri_Left	CbmWM_Gyri_Left	122	135	50	0
691	CbmWM_Gyri_Right	CbmWM_Gyri_Right	122	135	50	0
701	CSF-FSL-FAST	CSF-FSL-FAST	120	18	134	0
702	GrayMatter-FSL-FAST	GrayMatter-FSL-FAST	205	62	78	0
703	WhiteMatter-FSL-FAST	WhiteMatter-FSL-FAST	0	225	0	0
999	SUSPICIOUS	SUSPICIOUS	255	100	100	0
1000	ctx-lh-unknown	ctx-lh-unknown	25	5	25	0
1001	ctx-lh-bankssts	ctx-lh-bankssts	25	100	40	0
1002	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalanteriorcingulate	125	100	160	0
1003	ctx-lh-caudalmiddlefrontal	ctx-lh-caudalmiddlefrontal	100	25	0	0
1004	ctx-lh-corpuscallosum	ctx-lh-corpuscallosum	120	70	50	0
1005	ctx-lh-cuneus	ctx-lh-cuneus	220	20	100	0
1006	ctx-lh-entorhinal	ctx-lh-entorhinal	220	20	10	0
1007	ctx-lh-fusiform	ctx-lh-fusiform	180	220	140	0
1008	ctx-lh-inferiorparietal	ctx-lh-inferiorparietal	220	60	220	0
1009	ctx-lh-inferiortemporal	ctx-lh-inferiortemporal	180	40	120	0
1010	ctx-lh-isthmuscingulate	ctx-lh-isthmuscingulate	140	20	140	0
1011	ctx-lh-lateraloccipital	ctx-lh-lateraloccipital	20	30	140	0
1012	ctx-lh-lateralorbitofrontal	ctx-lh-lateralorbitofrontal	35	75	50	0
1013	ctx-lh-lingual	ctx-lh-lingual	225	140	140	0
1014	ctx-lh-medialorbitofrontal	ctx-lh-medialorbitofrontal	200	35	75	0
1015	ctx-lh-middletemporal	ctx-lh-middletemporal	160	100	50	0
1016	ctx-lh-parahippocampal	ctx-lh-parahippocampal	20	220	60	0
1017	ctx-lh-paracentral	ctx-lh-paracentral	60	220	60	0
1018	ctx-lh-parsopercularis	ctx-lh-parsopercularis	220	180	140	0
1019	ctx-lh-parsorbitalis	ctx-lh-parsorbitalis	20	100	50	0
1020	ctx-lh-parstriangularis	ctx-lh-parstriangularis	220	60	20	0
1021	ctx-lh-pericalcarine	ctx-lh-pericalcarine	120	100	60	0
1022	ctx-lh-postcentral	ctx-lh-postcentral	220	20	20	0
1023	ctx-lh-posteriorcingulate	ctx-lh-posteriorcingulate	220	180	220	0
1024	ctx-lh-precentral	ctx-lh-precentral	60	20	220	0
1025	ctx-lh-precuneus	ctx-lh-precuneus	160	140	180	0
1026	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralanteriorcingulate	80	20	140	0
1027	ctx-lh-rostralmiddlefrontal	ctx-lh-rostralmiddlefrontal	75	50	125	0
1028	ctx-lh-superiorfrontal	ctx-lh-superiorfrontal	20	220	160	0
1029	ctx-lh-superiorparietal	ctx-lh-superiorparietal	20	180	140	0
1030	ctx-lh-superiortemporal	ctx-lh-superiortemporal	140	220	220	0
1031	ctx-lh-supramarginal	ctx-lh-supramarginal	80	160	20	0
1032	ctx-lh-frontalpole	ctx-lh-frontalpole	100	0	100	0
1033	ctx-lh-temporalpole	ctx-lh-temporalpole	70	70	70	0
1034	ctx-lh-transversetemporal	ctx-lh-transversetemporal	150	150	200	0
1035	ctx-lh-insula	ctx-lh-insula	255	192	32	0
2000	ctx-rh-unknown	ctx-rh-unknown	25	5	25	0
2001	ctx-rh-bankssts	ctx-rh-bankssts	25	100	40	0
2002	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalanteriorcingulate	125	100	160	0
2003	ctx-rh-caudalmiddlefrontal	ctx-rh-caudalmiddlefrontal	100	25	0	0
2004	ctx-rh-corpuscallosum	ctx-rh-corpuscallosum	120	70	50	0
